Day,Hour,RingerMode,RingerModeChangedMin,Charging,ChargingChangedMin,ScreenOn,ScreenChangedMin,Proximity,Pitch,MaxAcc,CalledHowManyTimes,TimeSinceLastCall,LastCallPicked,Picked
2,13,Normal,66.2,0,66.2,1,0.32,0,-1,0.0044,13,10.68,1,Baseline
3,11,Normal,124.87,0,415.9,1,19.87,0,-1,0.002501,5,989.7,1,Picked
3,12,Normal,206.3,0,497.33,0,4.07,0,0,3.430302,4,81.43,1,Picked
3,16,Normal,415.38,0,706.42,1,3.73,0,-1,0.026851,5,209.08,1,Picked
3,17,Normal,471.78,0,11.73,1,1.92,0,-25,0.008689,13,56.4,1,Picked
4,11,Normal,90.77,0,90.77,1,1.35,1,-90,5.962167,6,21.73,1,Picked
4,18,Normal,84.47,0,84.47,1,0.3,1,-154,0.006809,8,36.43,1,Baseline
4,18,Normal,85.2,0,85.2,1,1.03,1,-154,0.016253,9,0.73,0,Picked
0,18,Normal,346.52,0,346.52,1,0.73,0,0,4.959084,3,111.65,1,Picked
1,13,Normal,277.03,0,277.03,1,1.37,0,-1,3.588999,1,1088.18,1,Picked
1,14,Normal,388.97,0,388.97,1,0.32,0,-1,0.000658,1,111.93,1,Baseline
1,16,Normal,4.8,0,4.8,1,0.7,1,-72,0.100131,1,77.4,0,Picked
1,16,Normal,6.37,0,6.37,1,0.9,0,-89,0.46835,3,1.57,1,Picked
1,17,Normal,92.17,0,92.17,1,2.97,0,-2,0.004384,3,45.67,1,Picked
2,9,Normal,323.38,0,4.93,1,5.13,0,-1,4.226957,11,788.13,0,Picked
2,17,Normal,90.93,0,90.92,1,0.43,0,-1,0.010846,1,244.85,0,Picked
3,19,Normal,273.68,0,273.68,1,3.43,0,-1,5.391136,4,32.47,1,Picked
4,15,Vibrate,84.17,0,84.17,1,2.92,1,-171,0.00627,1,1200.35,1,Picked
4,15,Vibrate,116.38,0,116.38,1,0.33,0,-3,0.014333,1,28.57,1,Baseline
4,19,Normal,19.12,0,19.12,1,2.07,0,-4,0.070836,15,15.83,1,Picked
5,11,Normal,5.6,0,5.6,1,3.9,1,-14,0.007694,4,89.28,0,Picked
0,16,Normal,101.92,0,101.92,1,0.42,1,165,0.046345,6,92.53,1,Baseline
0,16,Normal,1.72,0,1.72,1,1.72,0,-41,0.013971,3,1.55,1,Baseline
1,11,Normal,43.77,0,43.77,1,0.48,0,-1,3.517402,13,869.8,0,Picked
1,12,Normal,9.9,0,9.9,1,7.68,0,-45,0.073248,7,49.72,1,Picked
1,14,Normal,118.92,0,118.92,1,0.28,0,-1,0.003764,5,0.45,0,Baseline
1,17,Normal,285.5,0,285.5,0,0.03,0,-74,0.142827,2,39.05,1,Picked
1,19,Normal,406.53,0,406.53,1,0.07,0,-1,0.006009,11,111.65,0,Baseline
2,10,Normal,683.4,0,140.33,1,2.62,0,0,5.544578,17,931.8,0,Picked
2,10,Normal,684.72,0,141.65,1,0.3,0,7,0.016237,18,1.32,1,Picked
2,11,Normal,765.85,0,222.78,1,2.62,0,5,3.145805,19,81.13,1,Picked
2,14,Normal,921.13,0,378.07,1,0.33,0,-119,0.007099,2,1.35,0,Baseline
2,17,Normal,1104.93,0,561.87,0,5.37,0,-62,0.11014,5,74.82,0,Picked
3,9,Normal,45.1,0,38.4,0,3.73,1,-151,4.484634,8,6.38,0,Picked
3,10,Normal,107.05,0,100.35,1,1.45,0,-8,4.620786,3,49.62,1,Picked
3,10,Normal,109.6,0,102.9,1,4,0,-8,4.620786,5,2.23,1,Picked
3,10,Normal,111.22,0,104.52,1,0.43,0,-8,4.620786,7,1.22,1,Picked
0,21,Normal,1431.32,0,756.4,1,0.63,0,-1,0.028593,16,489.2,1,Picked
1,14,Normal,251.53,0,251.53,1,1.85,0,-1,3.49467,22,139.15,0,Picked
1,17,Normal,410.5,0,410.5,1,2.62,0,0,3.423839,1,11.13,1,Picked
3,11,Normal,200.17,0,200.17,1,0.32,0,-1,0.008659,19,11.9,1,Baseline
5,11,Normal,11.85,0,11.85,1,0.37,1,-8,0.034891,6,1064.13,1,Picked
5,11,Normal,43.52,0,43.52,1,2.9,0,-28,1.058205,1,31.67,1,Picked
5,13,Normal,24.45,0,24.45,1,0.32,0,-65,0.033129,2,105.9,1,Baseline
1,10,Normal,568.37,0,183.95,1,0.23,0,0,0.015925,8,658.47,1,Baseline
1,13,Normal,778.75,0,394.33,1,7.23,0,-1,3.166006,7,210.38,0,Picked
1,20,Normal,1191.52,0,807.1,1,0.32,1,-45,0.043185,10,412.77,1,Baseline
3,20,Normal,650.6,0,650.6,0,17.9,1,0,0.010793,2,444.73,1,Picked
4,19,Normal,282.72,0,282.72,1,0.03,0,-1,0.003432,14,618.43,1,Baseline
5,13,Normal,289.27,0,289.27,1,0.22,0,0,0.012139,12,1024.9,0,Baseline
0,10,Normal,169.75,0,169.75,1,2.28,0,-1,5.467897,1,1166.15,0,Picked
0,14,Normal,380.03,0,380.03,1,1,1,-95,3.510926,6,145.55,0,Picked
0,16,Normal,497.43,0,497.43,1,0.68,0,-1,5.434512,7,117.4,1,Picked
1,10,Normal,192.7,0,203.97,1,1.55,0,-1,4.744618,2,861.53,0,Picked
1,11,Normal,201.3,0,212.57,0,0.1,0,-2,0.005856,3,8.6,1,Picked
1,12,Normal,257.42,0,268.68,1,0.13,0,-1,3.164854,1,56.12,1,Picked
1,12,Normal,263.17,0,274.43,0,3.92,0,-53,0.436775,2,5.75,1,Picked
1,15,Normal,158.95,0,158.95,1,0.22,1,-99,4.054141,1,23.77,1,Baseline
1,16,Normal,46.4,0,46.4,1,0.23,0,-1,0.019683,1,50.43,0,Baseline
2,10,Normal,11.38,0,11.38,1,0.23,1,133,5.970007,3,7.53,1,Baseline
3,11,Vibrate,21.75,0,242.4,1,8.05,0,-1,3.333099,1,40.12,1,Picked
3,12,Vibrate,2.08,0,265.88,1,2.17,0,-1,3.436904,1,23.48,1,Picked
3,18,Normal,341.13,0,620.03,1,9.65,,0,4.856225,6,61.17,0,Picked
3,19,Normal,400.25,0,679.15,1,0.28,1,-51,0.854482,16,59.12,1,Baseline
4,9,Normal,728.13,0,84.73,0,0.98,0,-20,0.041534,9,29.93,1,Picked
4,19,Normal,471.77,0,471.77,1,4.37,0,-1,3.462326,2,43.53,1,Picked
5,10,Normal,134.48,0,134.48,1,0.23,0,-98,3.722081,17,634.03,1,Baseline
5,13,Normal,114.38,0,114.38,0,12.62,0,-15,0.000297,1,166.33,0,Picked
5,14,Normal,30.28,0,30.28,1,2.55,0,0,0.018646,1,50.02,1,Picked
5,15,Normal,42.12,0,42.12,1,0.23,0,27,0.002007,2,15.87,0,Baseline
5,15,Normal,61.45,0,61.45,0,0.25,1,114,0.005605,3,19.33,0,Picked
6,13,Normal,38.05,0,38.05,1,0.1,0,-8,0.04449,10,16.52,0,Picked
0,11,Normal,167.73,0,167.73,1,0.23,0,-8,0.011922,21,1277.42,1,Baseline
0,17,Normal,558.5,0,558.5,1,1.27,0,-1,3.277463,2,0.57,1,Picked
2,10,Normal,1113.3,0,125.73,1,1.98,1,-85,6.315438,4,1114.05,1,Picked
2,14,Normal,62.13,0,62.13,1,31.43,0,-32,0.401758,1,116.75,1,Picked
3,10,Normal,136.35,0,136.35,1,0.12,0,-57,0.087927,1,1190.27,1,Picked
4,20,Normal,100.83,0,100.83,1,0.25,0,-170,0.003687,3,28.45,0,Baseline
0,9,Normal,96.38,0,96.38,1,0.38,0,0,8.445405,5,1254.38,0,Picked
0,12,Normal,281.23,0,281.23,1,1.72,0,-1,5.388198,4,184.85,1,Picked
0,16,Normal,548.77,0,548.77,1,0.23,1,71,3.327164,1,76.77,1,Baseline
2,10,Normal,165.23,0,165.23,1,1.35,0,-1,0.000389,1,882.35,0,Picked
2,12,Normal,294.28,0,294.28,0,0.88,0,-1,0.02416,5,43.6,1,Picked
3,19,Vibrate,242.17,0,242.17,1,0.17,0,-1,0.020771,9,224.15,0,Baseline
3,19,Vibrate,244.7,0,244.7,1,0.23,0,-1,0.009058,14,2.53,0,Baseline
4,22,Normal,27.48,1,10.03,1,0.3,0,0,0.011914,1,421.18,0,Baseline
0,10,Normal,49.08,0,49.08,1,0.25,1,83,4.749014,8,1137.62,1,Baseline
0,11,Normal,51.63,0,51.63,1,2.47,0,-1,0.046534,9,2.55,0,Picked
0,16,Normal,12.58,0,12.58,1,2.93,0,-1,3.060338,1,81.88,1,Picked
0,20,Normal,102.58,0,102.58,1,4.22,0,-20,0.094848,1,206.28,1,Picked
1,9,Normal,86.95,0,86.95,1,1.07,0,-1,3.110494,1,807.5,1,Picked
2,12,Normal,282.62,0,282.62,1,9.35,0,-21,0.103623,5,12.65,1,Picked
2,14,Normal,359.35,0,359.35,0,0.87,1,-97,0.031948,6,49.95,0,Picked
2,14,Normal,386.4,0,386.4,1,18.4,0,-1,3.339151,6,24.17,1,Picked
2,16,Normal,122.93,0,122.93,1,0.57,0,-1,0.000298,1,126.42,1,Picked
3,9,Normal,29.28,0,29.28,1,0.22,0,1,0.004394,26,23.22,1,Baseline
3,11,Normal,25.08,0,25.08,1,6.82,0,-1,0.050651,2,16.85,0,Picked
3,11,Normal,25.8,0,25.8,1,7.53,0,-1,0.050651,14,0.72,1,Picked
3,12,Normal,49.43,0,49.43,1,1.8,0,-41,1.307137,6,64.75,1,Picked
3,15,Normal,38.72,0,38.72,1,0.07,0,-17,0.015208,1,92.2,1,Baseline
4,19,Normal,12.68,0,12.68,1,0.73,0,-28,0.126408,15,241.38,1,Picked
0,18,Normal,24.03,0,3.68,0,2.9,0,-1,4.918683,2,150.27,1,Picked
1,9,Normal,162.93,0,162.93,1,2.67,0,-92,3.817389,3,56.33,1,Picked
1,10,Normal,180.92,0,180.92,1,0.25,0,-1,5.492169,2,17.98,1,Picked
1,11,Normal,258.77,0,258.77,1,0.48,0,-2,3.022017,1,77.85,1,Picked
2,10,Normal,638.38,0,619.8,1,0.05,0,76,0.02423,2,0.25,1,Baseline
2,19,Normal,1165.43,0,113.07,1,0.97,0,-163,3.016453,1,210.52,0,Picked
3,10,Normal,677.73,0,765,1,0.25,0,0,0.011235,1,21.05,1,Baseline
0,13,Normal,1010.53,0,1010.53,1,1.37,0,-1,7.011611,4,1066.53,0,Picked
1,12,Normal,793.02,0,321.23,1,0.2,0,-1,0.011147,2,180.85,1,Baseline
1,17,Normal,1078.85,0,607.07,0,2.67,0,-1,0.00991,3,285.83,0,Baseline
3,22,Normal,0.22,0,6.58,1,0.22,0,0,4.112037,1,57.08,0,Baseline
3,23,Vibrate,22.7,0,62.1,1,0.45,0,-25,0.035527,8,3.17,0,Baseline
3,23,Vibrate,25.47,0,64.87,1,1.65,0,-25,0.035527,9,2.77,0,Picked
5,8,Normal,70.35,0,70.35,0,3.27,0,-50,0.011327,1,945.1,1,Picked
6,9,Normal,165.6,0,59.13,0,0.45,0,-14,0.011545,2,33.28,1,Picked
1,19,Normal,85.33,0,85.33,1,0.47,1,12,0.053764,1,95.15,1,Picked
2,19,Normal,78.3,0,78.3,1,0.25,0,-1,0.000598,3,4.98,1,Baseline
3,12,Vibrate,129.28,0,129.28,1,0.48,0,0,0.003796,1,1012.9,1,Baseline
3,16,Normal,23.93,0,23.93,0,6.48,1,1,3.56196,1,239.73,0,Picked
3,17,Normal,71.53,0,71.53,0,0.38,1,28,0.027711,1,47.6,1,Picked
0,20,Normal,123.6,0,123.6,0,4.45,1,0,0.038137,1,182.05,1,Picked
1,7,Normal,64.15,1,16.17,0,2.62,0,-14,0.137569,5,650.73,1,Picked
1,11,Vibrate,153.63,0,190.75,1,0.5,1,177,0.003842,1,14.45,0,Baseline
1,15,Normal,43.87,0,49.17,0,1.47,0,-7,0.11113,1,280.23,0,Picked
4,7,Normal,17.52,1,17.52,1,0.28,0,0,0.004842,3,831.85,1,Baseline
0,18,Normal,96.45,0,96.45,0,4.08,0,0,0.004993,2,55.53,1,Picked
1,7,Normal,6.53,0,6.53,0,4.05,0,-8,0.071607,3,807.38,1,Picked
1,16,Normal,57.23,0,57.23,0,0.4,1,151,0.13511,1,35.78,1,Picked
1,17,Normal,47.87,0,47.87,1,0.48,1,108,3.370099,3,58.9,1,Baseline
2,7,Normal,8.82,0,8.82,0,2.87,0,-12,0.036052,7,9.08,1,Picked
3,7,Normal,27.3,0,27.3,0,2.35,1,179,0.045863,1,626.7,0,Picked
4,9,Vibrate,14.75,1,14.75,1,0.3,0,-4,0.002994,1,17.08,0,Baseline
4,17,Normal,0.68,0,0.68,0,0.18,0,-83,0.033639,2,3.6,1,Picked
4,18,Normal,27.07,0,27.07,0,1.35,0,2,0.001172,3,26.38,1,Picked
6,16,Normal,81.92,0,81.92,0,1.27,0,-4,0.003448,2,34.23,1,Picked
6,20,Normal,215.83,0,215.83,1,0.05,0,0,0.010551,2,55.28,1,Picked
0,11,Vibrate,67.17,0,67.17,1,0.03,0,-1,0.003913,2,0.68,0,Baseline
0,16,Normal,44.18,0,30.82,0,0.62,1,-15,0.110371,5,120.7,1,Picked
1,10,Vibrate,111.83,0,137.03,0,3.77,1,-4,0.002391,1,802.75,1,Picked
1,17,Vibrate,14.73,0,14.95,1,0.5,1,-179,0.005076,1,23.52,1,Baseline
1,20,Normal,46.42,0,46.42,0,3.15,1,8,0.109451,8,63.38,1,Picked
4,16,Normal,85.28,0,85.28,1,0.07,0,-49,0.002566,7,1374.48,0,Picked
4,19,Normal,88.25,0,88.25,0,0.9,0,4,0.010007,2,153.97,1,Picked
5,10,Normal,145.63,0,145.63,1,0.95,1,-128,0.039231,4,89.22,1,Picked
6,8,Normal,93.9,0,93.9,0,4.62,0,0,3.762629,9,806.02,1,Picked
6,11,Normal,5.13,0,5.13,0,1.82,0,-6,0.08001,3,50.1,1,Picked
0,16,Normal,16.77,0,16.77,0,0.52,0,-36,0.030152,11,7.1,1,Picked
0,19,Normal,31.97,0,31.97,0,0.78,0,0,0.004323,3,14.68,1,Picked
1,16,Normal,57.6,0,57.6,0,0.2,0,-34,0.188358,4,2.12,1,Picked
1,16,Normal,69.92,0,69.92,0,7.97,0,-25,0.18123,5,12.32,1,Picked
6,15,Normal,62.37,0,62.37,1,0.42,0,-5,0.015852,4,177.27,0,Baseline
0,7,Normal,59.15,0,59.15,0,3.45,1,179,0.029467,13,798.63,1,Picked
3,20,Normal,258.57,0,258.57,1,0.35,1,-3,0.00444,7,225.4,1,Baseline
4,17,Normal,10.67,0,10.67,0,2.05,0,-121,0.007212,4,394.5,0,Picked
1,15,Normal,30.47,0,34.28,0,1.52,1,-170,0.071861,1,135.23,1,Picked
4,16,Normal,12.17,0,13.17,0,0.38,0,-7,0.022734,3,365.65,0,Picked
5,12,Normal,60.57,0,58.78,0,0.78,0,3,0.017116,15,1010.32,1,Picked
6,12,Normal,27.72,0,27.72,0,14.1,1,174,0.008842,23,104.15,1,Picked
6,13,Normal,79.27,0,79.27,0,2.17,0,1,5.903618,9,107.87,1,Picked
2,16,Normal,3.38,0,3.38,0,0.93,1,-166,0.005659,6,612,0,Picked
3,17,Normal,74.27,0,74.27,0,5.47,1,-1,0.006564,3,331.83,0,Picked
3,18,Normal,22.02,0,22.02,0,1.55,0,15,0.047827,2,69.3,1,Picked
4,8,Normal,21.23,0,21.23,0,0.42,0,-11,0.389309,1,796.1,1,Picked
4,11,Vibrate,186.25,0,230.67,1,0.48,1,0,0.000885,2,209.43,1,Baseline
5,17,Normal,44.7,0,36.63,1,0.32,0,2,0.008918,29,5.18,0,Baseline
6,8,Normal,44.05,0,44.05,0,0.03,0,3,0.002924,30,642.9,1,Picked
6,11,Normal,1.85,0,1.85,0,0.32,0,-18,0.031069,11,17.45,0,Picked
